                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5193,                 4.2147,                 1.3133,                 0.0025,                  0.125,                0.00155,                0.00111,                 1.8036,                 4.3135,                0.99524,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.3352,                 4.2315,                 1.2994,                0.00245,                  0.125,                0.00158,                0.00101,                 1.8421,                 4.2637,                0.98721,             9.9901e-05,             9.9901e-05,             9.9901e-05
                      3,                 2.4568,                 4.2428,                 1.2698,                0.17421,                0.16667,                0.07446,                0.03473,                 1.8819,                 6.9363,                0.97385,             0.00015968,             0.00015968,             0.00015968
                      4,                 1.9197,                 5.2785,                 1.0132,                0.00258,                0.04167,                0.00157,                0.00079,                 1.7785,                 9.5769,                0.95982,             0.00021935,             0.00021935,             0.00021935
                      5,                 2.0225,                   3.49,                0.99614,                0.00756,                0.16667,                0.00441,                0.00225,                 2.1071,                 82.494,                0.99932,             0.00027889,             0.00027889,             0.00027889
                      6,                 1.7527,                  2.358,                0.92384,                0.08003,                  0.375,                0.04466,                0.02511,                 1.6564,                 1013.5,                0.96182,             0.00033832,             0.00033832,             0.00033832
                      7,                 1.7158,                  1.707,                0.88508,                0.35641,                0.20772,                0.09637,                0.05582,                    nan,                    nan,                    nan,             0.00039762,             0.00039762,             0.00039762
                      8,                 1.5452,                 1.4902,                0.87477,                0.35641,                0.20772,                0.09637,                0.05582,                    nan,                    nan,                    nan,             0.00045681,             0.00045681,             0.00045681
                      9,                 1.7532,                 1.2045,                0.88708,                0.35641,                0.20772,                0.09637,                0.05582,                    nan,                    nan,                    nan,             0.00051588,             0.00051588,             0.00051588
                     10,                 1.6948,                 1.1642,                0.87983,                0.00394,                0.04167,                0.00052,                 0.0001,                    nan,                    nan,                    nan,             0.00057483,             0.00057483,             0.00057483
                     11,                 1.6443,                 1.0489,                0.87077,                0.00394,                0.04167,                0.00052,                 0.0001,                    nan,                    nan,                    nan,             0.00063366,             0.00063366,             0.00063366
                     12,                 1.6071,                 1.0012,                0.88996,                0.00394,                0.04167,                0.00052,                 0.0001,                    nan,                    nan,                    nan,             0.00069238,             0.00069238,             0.00069238
                     13,                 1.7611,                 1.0332,                0.88023,                0.00394,                0.04167,                0.00052,                 0.0001,                    nan,                    nan,                    nan,             0.00075097,             0.00075097,             0.00075097
                     14,                 1.7158,                 1.0216,                0.88692,                0.00394,                0.04167,                0.00052,                 0.0001,                    nan,                    nan,                    nan,             0.00080945,             0.00080945,             0.00080945
                     15,                 1.7222,                 1.1187,                0.88477,                0.00394,                0.04167,                0.00052,                 0.0001,                    nan,                    nan,                    nan,              0.0008678,              0.0008678,              0.0008678
                     16,                 1.6623,                  1.042,                0.88106,                0.00394,                0.04167,                0.00052,                 0.0001,                    nan,                    nan,                    nan,             0.00092604,             0.00092604,             0.00092604
